n,rho,eta,mu,seed,m_per_pair,ste_tc_f1,ste_tc_jaccard,ste_uc_f1,ste_uc_jaccard,ste_tc_topk_f1,ste_uc_topk_f1,ste_top1_tc,ste_tc_pred_size,ste_uc_pred_size,true_tc_size,true_uc_size,logloss_train,logloss_val,logloss_test,acc_test,win_rate_tc_f1,win_rate_uc_f1,win_rate_top1_tc,copeland_tc_f1,copeland_uc_f1,copeland_top1_tc,elo_tc_f1,elo_uc_f1,elo_top1_tc,rank_centrality_tc_f1,rank_centrality_uc_f1,rank_centrality_top1_tc,btl_tc_f1,btl_uc_f1,btl_top1_tc,hodgerank_tc_f1,hodgerank_uc_f1,hodgerank_top1_tc
20,0.2,0.05,0.1,42,10,0.09523809523799547,0.05,0.1333333333331911,0.07142857142857142,0.0,0.0,0.0,20.0,14.0,1.0,1.0,0.6272705837371477,0.7433602409753479,0.7413218230857405,0.5380116959064327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2,0.05,0.1,43,10,0.10526315789462604,0.05555555555555555,0.11764705882340486,0.0625,0.0,0.0,0.0,18.0,16.0,1.0,1.0,0.629821892772478,0.7295497870893358,0.7508828375041031,0.5087719298245614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2,0.05,0.1,44,10,0.09999999999989499,0.05263157894736842,0.11764705882340486,0.0625,0.0,0.0,0.0,19.0,16.0,1.0,1.0,0.6329824707938355,0.7060030796373549,0.71894048418499,0.5321637426900585,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2,0.05,0.1,45,10,0.9142857142851658,0.8421052631578947,0.19047619047592745,0.10526315789473684,0.9374999999994414,0.0,1.0,19.0,18.0,16.0,3.0,0.6248460943966498,0.73626209016013,0.7326620450254051,0.5672514619883041,0.8749999999994453,0.0,1.0,0.8749999999994453,0.33333333333272225,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0
20,0.2,0.05,0.1,46,10,0.09999999999989499,0.05263157894736842,0.1333333333331911,0.07142857142857142,0.9999999999984999,0.0,1.0,19.0,14.0,1.0,1.0,0.6150684202421163,0.7380164867894754,0.7372191676010881,0.49122807017543857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2,0.05,0.1,47,10,0.11111111111099384,0.058823529411764705,0.24999999999971875,0.14285714285714285,0.9999999999984999,0.9999999999984999,1.0,17.0,7.0,1.0,1.0,0.5880701379456549,0.6796876487442998,0.7017342859703589,0.5555555555555556,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.2,0.05,0.1,48,10,0.10526315789462604,0.05555555555555555,0.11111111111099384,0.058823529411764705,0.0,0.0,0.0,18.0,17.0,1.0,1.0,0.6230578560459203,0.7020839598576827,0.7540279500792681,0.4853801169590643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2,0.05,0.1,49,10,0.09523809523799547,0.05,0.11764705882340486,0.0625,0.9999999999984999,0.9999999999984999,1.0,20.0,16.0,1.0,1.0,0.6113994411525359,0.7035251355746923,0.7296949279031253,0.5555555555555556,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.2,0.05,0.1,50,10,0.10526315789462604,0.05555555555555555,0.12499999999986719,0.06666666666666667,0.0,0.9999999999984999,0.0,18.0,15.0,1.0,1.0,0.6107245019147246,0.7056189417554661,0.7070178272506294,0.5730994152046783,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.2,0.05,0.1,51,10,0.09999999999989499,0.05263157894736842,0.15384615384598815,0.08333333333333333,0.0,0.0,0.0,19.0,12.0,1.0,1.0,0.6174548112692266,0.7011623674326315,0.6751416821349602,0.5672514619883041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
