n,seed,agent,tc_prob,tc_label,uc_prob,uc_label
20,47,17,0.613362729549408,0.0,0.45248985290527344,0.0
20,47,18,0.5412302017211914,0.0,0.25064659118652344,0.0
20,47,19,0.7342945337295532,0.0,0.8887206315994263,0.0
20,48,0,0.5121574401855469,0.0,0.28207147121429443,0.0
20,48,1,0.7569472789764404,0.0,0.7687061429023743,0.0
20,48,2,0.7620653510093689,0.0,0.8093879222869873,0.0
20,48,3,0.8007616400718689,1.0,0.675697386264801,1.0
20,48,4,0.8100490570068359,0.0,0.7977843284606934,0.0
20,48,5,0.627740204334259,0.0,0.519544243812561,0.0
20,48,6,0.8069060444831848,0.0,0.9035561680793762,0.0
20,48,7,0.46302729845046997,0.0,0.41886594891548157,0.0
20,48,8,0.7109670639038086,0.0,0.842263400554657,0.0
20,48,9,0.7807604670524597,0.0,0.7805804014205933,0.0
20,48,10,0.7133487462997437,0.0,0.7302323579788208,0.0
20,48,11,0.7617210745811462,0.0,0.8587126135826111,0.0
20,48,12,0.6916301846504211,0.0,0.5308825969696045,0.0
20,48,13,0.6993388533592224,0.0,0.501499593257904,0.0
20,48,14,0.7006114721298218,0.0,0.8264511227607727,0.0
20,48,15,0.7741535902023315,0.0,0.8833179473876953,0.0
20,48,16,0.639638364315033,0.0,0.5445390939712524,0.0
20,48,17,0.7048730254173279,0.0,0.7524546980857849,0.0
20,48,18,0.7438305020332336,0.0,0.8800336122512817,0.0
20,48,19,0.5315240621566772,0.0,0.5773971080780029,0.0
20,49,0,0.78436279296875,0.0,0.7624682188034058,0.0
20,49,1,0.8023002743721008,0.0,0.7913060784339905,0.0
20,49,2,0.745369553565979,0.0,0.8711941242218018,0.0
20,49,3,0.7340788245201111,0.0,0.5771747827529907,0.0
20,49,4,0.7787684798240662,0.0,0.8944786787033081,0.0
20,49,5,0.7862619757652283,0.0,0.8102164268493652,0.0
20,49,6,0.8052641749382019,0.0,0.8619979619979858,0.0
20,49,7,0.7612219452857971,0.0,0.37337830662727356,0.0
